,id_estacao,data_medicao,coleta,ponto,data_inicio,data_fim,ph,temperatura_do_ar,temperatura_da_agua,salinidade,oxigenio_dissolvido,turbidez,disco_de_secchi,profundidade_total,profundidade_de_coleta,coliformes_totais,escherichia_coli,nitrogenio_amoniacal,fosforo_total_mg_l,fosforo_total_mg_kg,fosfato_total,nitrato,silica,sulfeto,materia_organica
2278,1,2022-07-13 11:30:00,Regular,LRF5 - Superfície,2022-07-13 11:27:00,2022-07-13 11:30:00,8.71,22.0,23.1,14,6.37,8.48,51.0,3.0,0.3,>16.000,>16.000,0.04,0.07,,<0.016,0.222,2.9,<0.1,
2279,1,2023-07-26 13:56:00,Regular,LRF5 - Superfície,2023-07-26 13:54:00,2023-07-26 13:56:00,8.79,27.0,23.1,10.7,11.49,1.9,52.0,3.0,0.3,130,7,0.109,0.047,,0.022,0.26,5.3,<0.1,
2280,1,2024-07-24 13:03:00,Regular,LRF2 - Superfície,2024-07-24 13:00:00,2024-07-24 13:03:00,8.4,28.0,23.1,10.7,9.92,2.05,200.0,3.7,0.3,11,5,0.1,0.017,,<0.016,0.33,5.4,<0.1,
2281,1,2024-08-09 10:47:00,Regular,LRF6 - Superfície,2024-08-09 10:44:00,2024-08-09 10:47:00,8.58,23.0,23.1,10.8,9.03,3.57,80.0,3.0,0.3,46,2,0.14,0.047,,<0.016,0.28,5.1,<0.1,
2282,1,2023-06-05 11:39:00,Regular,LRF4 - Superfície,2023-06-05 11:35:00,2023-06-05 11:39:00,7.67,22.0,23.1,9.9,5.51,<1.5,250.0,3.6,0.3,11,<1.8,0.08,<0.016,,<0.016,0.39,6.3,<0.1,
2283,1,2022-07-13 11:07:00,Regular,LRF4 - Superfície,2022-07-13 11:04:00,2022-07-13 11:07:00,9.14,22.0,23.1,14,8.78,17.4,52.0,3.5,0.3,540,350,0.04,0.104,,<0.016,0.128,2.8,0.1,
2284,1,2023-06-07 11:30:00,Regular,LRF3 - Superfície,2023-06-07 11:27:00,2023-06-07 11:30:00,7.64,23.0,23.1,9.9,7.57,1.54,200.0,3.5,0.3,240,2,0.06,<0.016,,<0.016,0.37,2.8,<0.1,
2285,1,2024-06-07 11:30:00,Regular,LRF3 - Superfície,2024-06-07 11:27:00,2024-06-07 11:30:00,7.64,23.0,23.1,9.9,7.57,1.54,200.0,3.5,0.3,240,2,0.06,<0.016,,<0.016,0.37,2.8,<0.1,
2286,1,2023-07-24 13:03:00,Regular,LRF2 - Superfície,2023-07-24 13:00:00,2023-07-24 13:03:00,8.4,28.0,23.1,10.7,9.92,2.05,200.0,3.7,0.3,11,5,0.1,0.017,,<0.016,0.33,5.4,<0.1,
2287,1,2022-09-12 10:11:00,Regular,LRF3 - Superfície,2022-09-12 10:08:00,2022-09-12 10:11:00,6.59,20.0,23.1,13.5,7.52,2.42,151.0,3.6,0.3,9200,920,0.16,0.039,,<0.016,<0.05,3.1,<0.1,
2288,1,2023-07-24 12:06:00,Regular,LRF3 - Superfície,2023-07-24 12:03:00,2023-07-24 12:06:00,8.41,26.0,23.1,10.7,9.4,<1.5,152.0,3.5,0.3,17,<1.8,0.09,<0.016,,<0.016,0.46,5.1,<0.1,
2289,1,2022-09-14 12:03:00,Regular,LRF4 - Superfície,2022-09-14  12:00,2022-09-14 12:03:00,7.22,22.0,23.1,14.1,6.62,2.65,103.0,3.8,0.3,350,130,0.18,0.052,,<0.016,<0.05,3.5,<0.1,
2290,1,2024-07-24 13:21:00,Regular,LRF4 - Superfície,2024-07-24 13:18:00,2024-07-24 13:21:00,8.35,28.0,23.1,10.6,8.89,<1.5,303.0,3.7,0.3,2,<1.8,0.07,0.021,,<0.016,0.48,5.2,<0.1,
2291,1,2024-08-09 11:01:00,Regular,LRF4 - Superfície,2024-08-09 10:58:00,2024-08-09 11:01:00,8.41,23.0,23.1,10.9,7.88,1.59,204.0,3.5,0.3,16000,28,0.09,0.05,,<0.016,0.25,5.2,<0.1,
